videoId,viewsSubscriberRatioMinMaxScaler,title
Zin_JWU7OEM,0.0013606787173080668,"iOS 15.3 Beta 1 & iOS 15.2 Follow-Up - Changes, Bug Fixes, Performance, Battery Life"
0xFjbrvmae8,0.0009096631207553837,iOS 15.1 RC Released - What's New?
jYxCvQZcDk8,0.001402295052221291,"iOS 15.1 RC - More Changes, Bug Fixes, Battery Life & Release Date"
F5t4lTvO__k,0.00040151582475800724,Apple M1X MacBook Pro Event Confirmed! iOS 15.1 & macOS Monterey Release Date
fQKbZECcvac,0.0006069988668410259,macOS Monterey 12.2 Released - What's New?
QOW5Z-O3wLU,0.0008060999732670104,iOS 15.3 RC Released - What's New?
pBu4-gWmukI,0.00035323094031093844,iOS 15.3 Beta 2 Released - What's New?
oWLNs7nQtYc,0.0006484718948158437,iOS 15.1 Beta 4 Released - What's New?
_pe7PTyDCRA,0.0016733075803396168,iOS 15.2.1 Released - What's New?
wDnSJrzGAkw,0.0020203205547928153,iOS 16 Wishlist - Features & Changes We Hope to See
r6r74o_0SuU,0.0008881670799944207,iOS 15.3 RC Review - A Few Days Later
s57D0pPNOAc,0.0008066445396329549,"iOS 15.1 Beta 3 Follow Up - Changes, Performance, Battery Life & More"
FF_1QsOWi4g,0.0021782925698961577,12 AWESOME iPhone Tricks You Didn’t Know Existed!
rib1hKVbUX0,0.0006943969916771538,iOS 15.2.1 & iOS 15.3 Beta 2 Review - 1 Week Later
ODSEyhWatuc,0.0008490347320135737,"iOS 15, 15.0.1 & iOS 15.1 - Bugs & Bug Fixes, Performance, Battery Life & More"
5KXD7gZZc4A,0.0006273293445029495,"iOS 15.1 & 15.2 Beta 1 Follow-Up - Changes, Bug Fixes, Performance, Battery Life"
_zf_nd31MTo,0.0006812891837109137,"iOS 15.0.2 & iOS 15.1 Beta 4 - Additional Changes, Bug Fixes, Performance & Battery Life"
3nTqhjuDr_M,0.00027988644923453295,iOS 14.4.1 & iOS 14.5 Beta 3 - Follow-Up Review
eTzDrCZtOgI,0.000646628012208347,iOS 15.1 Beta 3 Released - What's New?
n0qxmgbCGo8,0.011000286805787124,Apple AirPods Review (3 Months Later) - A $160 Joke?
wvtTU0V6604,0.00191327027180322,iOS 15 RC Released - What's New?
3sNlb7js46I,0.002520242032525662,iOS 15.0.2 Released - What's New?
O2Lm3oJPf3U,0.000831044934345622,iOS 14.5 Beta 2 - 2 Weeks Later Review
rj90i2F61Us,0.02091912368685314,Why iPhone 7 Plus is the BEST iPhone to Buy in 2019!
cpboNgfU0-I,0.004492241042956931,NEW iOS 15 AirPods Pro 4A400 Update - What's New?
xAkiaUefafk,0.0010711318251558424,"iOS 15 Beta 4 Follow-Up - Additional Features, Performance, Battery Life & More"
wvouVm-uOHE,0.0006578632761794102,iOS 15.2 Beta 1 Released - What's New?
j2NijIYM0zs,0.001365799551907122,iOS 15.0.1 Released - What's New?
5EpuRzOItNI,0.0012333075104524413,"iOS 15.1 & iOS 15.2 Beta 1 Follow-Up - Changes, Bug Fixes, Performance, Battery Life"
Yf6XbGBZAZY,0.001845409659569833,iOS 16 - More Leaks & Rumors!
t20zMRcRUf0,0.0012006144209039896,macOS Monterey 12.3 Released - What's New?
L_2xcOF6IM0,0.001485967196658852,iOS 15 Beta 4 Released - What's New?
7XnplvWuT64,0.0005492366168673444,iOS 12.3.2 Released - What's New? + 12.3.1 & iOS 13 Updates
ijrz0aG0VPU,0.001830983427770254,"How to Delete ""Other"" Storage on iPhone (+13 Other Pro Storage Tips)"
ehgIzQpOIT0,0.0003727875605054674,iPhone XR - Unboxing & First Impressions Review!
6ksve7uVss8,0.0018013379991119118,iOS 15.4 Beta 1 Released - What's New?
XoWpyggGMOU,0.0030213386271534426,iPhone SE 2 (2020) - Watch THIS Before Buying!
b69jFGBaAok,0.00026792509677554306,The History of iOS 14
n_HLSyK6azg,0.0003792363727337563,iPad Pro (2020) - Unboxing & Review!
mvM_pCtHaeA,0.0008255515017067089,iOS 14.5 Beta 6 Released - What's New?
d3CriRgMy7g,0.00035254306700658765,"iOS 15.2 Beta Follow-Up - Changes, Bug Fixes, Performance, Battery Life"
SjsSOh0jMuk,0.0007059570847086046,iOS 16.6 Beta 1 Released - What's New?
oMmLerlyj-4,0.0011347601058082927,iOS 16.1 Beta 4 Released - What's New?
cDVRzihMECw,0.0005051267412258484,The iPad Mini 6 Changes EVERYTHING..
ucnwG6jBWWc,0.0008399681797103946,"How to Fix Bootloop/Stuck on Apple Logo on iOS 9.3.3 - 10.2 (NO RESTORE) | iPhone, iPad, iPod"
ERc7dXTclLI,0.002319277935900393,Which iPhone 13 Should You Buy? | ULTIMATE Buyer's Guide!
nHJV781LykU,0.0041002105822523305,iOS 13.3 Released - What's New?
W3oxrKIaQnk,0.0010221495136085283,iOS 14.4 Beta 1 Released - What's New?
zlKz5dVo34A,0.0015337075147399777,iOS 16.1 RC Released - What's New?
LsqaOJ2Ezks,0.00025842862365714475,"iOS 12.2 Beta 4 Released - Apple, what is this!?"
HPHrxdob-nk,0.10198490561916224,iPhone 15: Apple thinks we're STUPID!
BhUZGLqiNRQ,0.002283327335709231,Is Apple Changing the game? - Apple Intelligence (WWDC 2024)
WZYIofsJn2I,0.09129633571531226,Android Fanboy Switches to iPhone after 10 Years!! - iPhone 14 Pro Max
aEPEANIwOOo,0.14281173820272036,"Apple's Worst Product? - M1 iPad Pro 12.9"""
YyqyW6MSpF8,0.00954254342965886,Smart Home Gadgets To Get Now!?!
2SqbsMslNfk,0.05364853914531143,Easiest Way to Make Webcam Masks and Drop Shadows!!! (FREE DOWNLOAD)
PPA2dH1FA10,0.003009248945104194,"How to sepertate Game, Music and Discord audio in OBS"
gpzRHrRgxOk,0.03397356035274451,FREE DOWNLOAD - Animated Social Media Pop-ups
J8Pkt1FV--M,0.019029587911061997,AirPods 2 Pro USB-C: Watch this BEFORE you buy!
vk39tshXHsI,0.9999999999999999,The Mac Mini You Need to Buy ASAP
SgErMA8Z56k,0.013472532832245383,SHROUD Alerts and Webcam Overlay - FREE DOWNLOAD
-G42eDm57SM,0.02588829553086268,Fifine SC3: Best Budget Audio Gadget ?!
O2OLRWUa2Yw,0.027615488325630003,Logitech Earbuds: You NEED These?!
DGjNBYMHmys,0.01945512816484525,Apple M3 Announcement: First Impressions
yEkLZmUaYgI,0.004611282841699975,Holiday Cool Tech Under $50?!
BAhjRfpibkY,2.8767148091001116e-05,Youtubers Favorite Tech Of 2019 ft. @KarlConrad @JustinTse @MatthewMoniz  & More!
zgdMI_HutjM,0.001574548630599693,Galaxy S7 Edge Review in 2017 is it worth it?
PqLuzFxiDRE,0.003403485561193887,Beats Fit Pro Review After 6 Months - Better Than Airpods Pro!
56d_PkfnF08,7.369948982413111e-05,Final WWDC 2021 Event Leaks: Don't Get TOO EXCITED
txpGFgay3W4,2.9311782536251385e-05,This leather case changed my life. TUCCH CASE REVIEW
IugejV0radQ,0.00022864798949776983,iPadOS 15 - Top New Features You Must Know About!
NFZ8TaAjKls,0.0002257886586602068,Huawei P40 Pro Unboxing and First Impressions
qxDGVOzwY7c,5.224089268127849e-05,Apple Watch Series 5 Unboxing & First Impressions
ROnljuWlxq0,0.0002789722122388745,How I Upgraded My $50 Keyboard
DNeXcQW2nnU,0.0014769229062886221,NEW iPad Air 4 First Impressions - Watch Before You Buy!
Qr-GlFHjg1M,7.974493216640654e-05,FREE Cydia Alternative for iOS 9 - 10.1.1 - 10.2  (Zestia)
5P5ZAdEPCk8,0.0015751204967672054,NEW! dbrand RED DRAGON
mEXD8CfaDSs,0.0017636729417127737,How To Install watchOS 7 beta 1 To Your Apple Watch
RV2LANm3SKk,4.962664734407877e-05,How To Connect Ps4 Controller To Any Android Device For Galaxy Cup
xD30LBuQeC8,8.505511800759415e-05,"How To Use Twitter Fleets ""Live Stories"" When Not In Your Country"
Ez8oE9OdoLA,0.00024681154824685963,Best Laptop For Students 2020 - Huawei Matebook X Pro Review
xdZeQsfVQq0,2.432837736221417e-05,HeimVision HM302 Smart Wifi Camera Review: Everything Explained
3_TWI01sElc,0.00013870161086472398,AnyTrans: This Will Make Your Life So Much Easier As An Apple User
Ezbge3ihkAY,0.00011582696416422155,Samsung Galaxy A51 Unboxing and Full Review
l5__U2eM9ZI,0.0006295261729240691,iOS 11: Top 5 Best AR Apps! (Augmented Reality)
6EUUGdoB424,0.00021851778881611908,Rhinoshield iPhone SE Case Lineup + New Wide Angle/Macro Lens Attachment
WqmoVcZrzNI,0.00032232511408077834,LG V60 ThinQ Dual Screen Review 3 Months Later
KEzfQjHcNSc,1.1229918953949791e-05,The Only Charging Cable You Need - Charby
29DvKtYKxKU,0.00016018743972983892,NEW FREE TOP 10 iOS 10 - 10.2 Jailbreak Tweaks - APRIL 2017
L0mUb5cUB0Y,5.7823395745091806e-05,The Best iPhone Wallet Case - TUCCH Case Review
8XuCMYFX4EU,0.0002352108345630332,Apple AirTags Review: Serious Privacy Issue?
